workload,metric,baseline,static,adaptive
50,total_distance_km,439.19,424.33,421.51
50,total_fuel_l,14.15,15.46,15.64
50,total_co2_kg,32.55,35.56,35.97
50,avg_utilization_pct,55.85,74.28,77.33
50,avg_travel_time_min,21.08,31.93,32.67
50,avg_waiting_min,0.00,4.41,4.53
50,avg_processing_ms,0.00,-,-
50,requests_completed,50.00,50.00,50.00
50,requests_failed,0.00,0.00,0.00
50,trips,50.00,35.00,34.00
50,shared_trips,0.00,15.00,15.00
50,individual_trips,50.00,20.00,19.00
100,total_distance_km,827.37,780.24,775.89
100,total_fuel_l,31.44,39.76,38.61
100,total_co2_kg,72.30,91.45,88.80
100,avg_utilization_pct,59.00,75.60,78.49
100,avg_travel_time_min,19.86,35.11,36.15
100,avg_waiting_min,0.00,5.44,5.41
100,avg_processing_ms,0.00,-,-
100,requests_completed,100.00,100.00,100.00
100,requests_failed,0.00,0.00,0.00
100,trips,100.00,59.00,57.00
100,shared_trips,0.00,41.00,41.00
100,individual_trips,100.00,18.00,16.00
250,total_distance_km,"2,182.87",813.79,862.01
250,total_fuel_l,79.71,41.23,42.83
250,total_co2_kg,183.34,94.83,98.51
250,avg_utilization_pct,59.79,75.31,77.81
250,avg_travel_time_min,20.96,36.19,38.19
250,avg_waiting_min,0.00,4.72,4.47
250,avg_processing_ms,0.00,-,-
250,requests_completed,250.00,110.00,112.00
250,requests_failed,0.00,140.00,138.00
250,trips,250.00,60.00,60.00
250,shared_trips,0.00,50.00,50.00
250,individual_trips,250.00,10.00,10.00
500,total_distance_km,"4,527.04",849.42,838.02
500,total_fuel_l,172.42,41.00,42.93
500,total_co2_kg,396.56,94.30,98.74
500,avg_utilization_pct,57.31,76.36,80.81
500,avg_travel_time_min,21.73,37.61,37.19
500,avg_waiting_min,0.00,4.34,4.48
500,avg_processing_ms,0.00,-,-
500,requests_completed,500.00,110.00,111.00
500,requests_failed,0.00,390.00,389.00
500,trips,500.00,60.00,60.00
500,shared_trips,0.00,50.00,50.00
500,individual_trips,500.00,10.00,10.00
