metric,workload,static,adaptive,delta_pct,verdict
Shared trips (single pass),50,15.00,15.00,+0.0%,-
Shared trips (single pass),100,41.00,41.00,+0.0%,-
Shared trips (single pass),250,50.00,50.00,+0.0%,-
Shared trips (single pass),500,50.00,50.00,+0.0%,-
Individual trips (single pass),50,20.00,19.00,-5.0%,-
Individual trips (single pass),100,18.00,16.00,-11.1%,-
Individual trips (single pass),250,10.00,10.00,+0.0%,-
Individual trips (single pass),500,10.00,10.00,+0.0%,-
Unassigned (single pass),50,0.00,0.00,-,-
Unassigned (single pass),100,0.00,0.00,-,-
Unassigned (single pass),250,74.00,72.00,-2.7%,improvement
Unassigned (single pass),500,204.00,202.00,-1.0%,improvement
Avg vehicle utilisation (%),50,74.28,77.33,+4.1%,-
Avg vehicle utilisation (%),100,75.60,78.49,+3.8%,-
Avg vehicle utilisation (%),250,75.31,77.81,+3.3%,-
Avg vehicle utilisation (%),500,76.36,80.81,+5.8%,-
Total fuel (L),50,15.46,15.64,+1.2%,regression
Total fuel (L),100,39.76,38.61,-2.9%,improvement
Total fuel (L),250,41.23,42.83,+3.9%,regression
Total fuel (L),500,41.00,42.93,+4.7%,regression
Fuel saved (L),50,3.40,3.97,+16.8%,-
Fuel saved (L),100,15.28,16.09,+5.3%,-
Fuel saved (L),250,30.86,34.94,+13.2%,-
Fuel saved (L),500,32.01,35.14,+9.8%,-
CO2 saved (kg),50,7.78,9.07,+16.6%,-
CO2 saved (kg),100,35.15,36.98,+5.2%,-
CO2 saved (kg),250,70.99,80.38,+13.2%,-
CO2 saved (kg),500,73.56,80.81,+9.9%,-
CO2 reduction (%),50,18.00,20.10,+11.7%,-
CO2 reduction (%),100,27.80,29.40,+5.8%,-
CO2 reduction (%),250,42.80,44.90,+4.9%,-
CO2 reduction (%),500,43.80,45.00,+2.7%,-
Total distance (km),50,424.33,421.51,-0.7%,improvement
Total distance (km),100,780.24,775.89,-0.6%,improvement
Total distance (km),250,813.79,862.01,+5.9%,regression
Total distance (km),500,849.42,838.02,-1.3%,improvement
Avg travel time (min),50,31.93,32.67,+2.3%,regression
Avg travel time (min),100,35.11,36.15,+3.0%,regression
Avg travel time (min),250,36.19,38.19,+5.5%,regression
Avg travel time (min),500,37.61,37.19,-1.1%,improvement
Avg waiting (min),50,4.41,4.53,+2.7%,regression
Avg waiting (min),100,5.44,5.41,-0.6%,improvement
Avg waiting (min),250,4.72,4.47,-5.3%,improvement
Avg waiting (min),500,4.34,4.48,+3.2%,regression
Requests completed,50,50.00,50.00,+0.0%,-
Requests completed,100,100.00,100.00,+0.0%,-
Requests completed,250,110.00,112.00,+1.8%,-
Requests completed,500,110.00,111.00,+0.9%,-
Requests failed,50,0.00,0.00,-,-
Requests failed,100,0.00,0.00,-,-
Requests failed,250,140.00,138.00,-1.4%,improvement
Requests failed,500,390.00,389.00,-0.3%,neutral
Driver pool utilisation (%),50,58.30,56.70,-2.7%,-
Driver pool utilisation (%),100,98.30,95.00,-3.4%,-
Driver pool utilisation (%),250,100.00,100.00,+0.0%,-
Driver pool utilisation (%),500,100.00,100.00,+0.0%,-
Avg batch compatibility,50,84.73,83.70,-1.2%,-
Avg batch compatibility,100,84.98,83.96,-1.2%,-
Avg batch compatibility,250,92.14,91.21,-1.0%,-
Avg batch compatibility,500,94.15,92.23,-2.0%,-
Compatibility std,50,5.26,6.26,+19.0%,-
Compatibility std,100,5.77,6.44,+11.6%,-
Compatibility std,250,2.03,3.33,+64.0%,-
Compatibility std,500,1.25,3.47,+177.6%,-
Waves completion (%),50,100.00,100.00,+0.0%,-
Waves completion (%),100,100.00,100.00,+0.0%,-
Waves completion (%),250,100.00,100.00,+0.0%,-
Waves completion (%),500,100.00,100.00,+0.0%,-
Waves total fuel (L),50,17.95,18.08,+0.7%,regression
Waves total fuel (L),100,45.40,44.10,-2.9%,improvement
Waves total fuel (L),250,112.13,107.50,-4.1%,improvement
Waves total fuel (L),500,234.37,220.89,-5.8%,improvement
Batching rate (%),50,42.90,44.10,+2.8%,-
Batching rate (%),100,69.50,71.90,+3.5%,-
Batching rate (%),250,83.30,83.30,+0.0%,-
Batching rate (%),500,83.30,83.30,+0.0%,-
Avg delay (min),50,4.41,4.53,+2.7%,regression
Avg delay (min),100,5.44,5.41,-0.6%,improvement
Avg delay (min),250,4.72,4.47,-5.3%,improvement
Avg delay (min),500,4.34,4.48,+3.2%,regression
Avg requests/batch,50,2.00,2.07,+3.5%,-
Avg requests/batch,100,2.00,2.05,+2.5%,-
Avg requests/batch,250,2.00,2.04,+2.0%,-
Avg requests/batch,500,2.00,2.02,+1.0%,-
Max requests/batch,50,2.00,3.00,+50.0%,-
Max requests/batch,100,2.00,3.00,+50.0%,-
Max requests/batch,250,2.00,3.00,+50.0%,-
Max requests/batch,500,2.00,3.00,+50.0%,-
Avg processing (ms/req),50,16.75,18.34,+9.5%,regression
Avg processing (ms/req),100,11.26,13.33,+18.4%,regression
Avg processing (ms/req),250,8.08,10.57,+30.8%,regression
Avg processing (ms/req),500,7.96,14.72,+84.9%,regression
Pipeline total (s),50,0.84,0.92,+9.4%,regression
Pipeline total (s),100,1.13,1.33,+18.4%,regression
Pipeline total (s),250,2.02,2.64,+31.0%,regression
Pipeline total (s),500,3.98,7.36,+84.9%,regression
Route optimisation (s),50,0.04,0.03,-27.3%,improvement
Route optimisation (s),100,0.09,0.09,+6.9%,regression
Route optimisation (s),250,0.11,0.09,-23.4%,improvement
Route optimisation (s),500,0.09,0.10,+8.6%,regression
Batch formation (s),50,0.01,0.11,+640.0%,regression
Batch formation (s),100,0.04,0.19,+339.5%,regression
Batch formation (s),250,0.34,0.94,+173.9%,regression
