category,metric,workload,static_mean,static_std,static_min,static_max,static_n,adaptive_mean,adaptive_std,adaptive_min,adaptive_max,adaptive_n
REQUESTS,Total requests,50,50.0,0.0,50,50,5,50.0,0.0,50,50,5
REQUESTS,Total requests,100,100.0,0.0,100,100,5,100.0,0.0,100,100,5
REQUESTS,Total requests,250,250.0,0.0,250,250,5,250.0,0.0,250,250,5
REQUESTS,Total requests,500,500.0,0.0,500,500,3,500.0,0.0,500,500,3
REQUESTS,Requests completed,50,50.0,0.0,50,50,5,50.0,0.0,50,50,5
REQUESTS,Requests completed,100,99.2,0.748,98,100,5,99.8,0.4,99,100,5
REQUESTS,Requests completed,250,110.0,0.0,110,110,5,111.6,0.8,111,113,5
REQUESTS,Requests completed,500,110.0,0.0,110,110,3,111.0,0.0,111,111,3
REQUESTS,Requests failed,50,0.0,0.0,0,0,5,0.0,0.0,0,0,5
REQUESTS,Requests failed,100,0.8,0.748,0,2,5,0.2,0.4,0,1,5
REQUESTS,Requests failed,250,140.0,0.0,140,140,5,138.4,0.8,137,139,5
REQUESTS,Requests failed,500,390.0,0.0,390,390,3,389.0,0.0,389,389,3
REQUESTS,Unassigned (single pass),50,0.0,0.0,0,0,5,0.0,0.0,0,0,5
REQUESTS,Unassigned (single pass),100,0.8,0.748,0,2,5,0.2,0.4,0,1,5
REQUESTS,Unassigned (single pass),250,75.8,1.327,74,78,5,73.2,1.72,71,76,5
REQUESTS,Unassigned (single pass),500,202.667,1.247,201,204,3,200.667,1.247,199,202,3
REQUESTS,Completion rate (%),50,100.0,0.0,100.0,100.0,5,100.0,0.0,100.0,100.0,5
REQUESTS,Completion rate (%),100,100.0,0.0,100.0,100.0,5,100.0,0.0,100.0,100.0,5
REQUESTS,Completion rate (%),250,100.0,0.0,100.0,100.0,5,100.0,0.0,100.0,100.0,5
REQUESTS,Completion rate (%),500,100.0,0.0,100.0,100.0,3,100.0,0.0,100.0,100.0,3
BATCHING,Shared trips,50,18.4,2.154,15,21,5,17.2,1.47,15,19,5
BATCHING,Shared trips,100,39.6,1.2,38,41,5,38.2,1.72,36,41,5
BATCHING,Shared trips,250,50.0,0.0,50,50,5,50.0,0.0,50,50,5
BATCHING,Shared trips,500,50.0,0.0,50,50,3,50.0,0.0,50,50,3
BATCHING,Individual trips,50,13.2,4.308,8,20,5,14.0,2.608,12,19,5
BATCHING,Individual trips,100,20.0,1.673,18,22,5,21.2,2.786,16,24,5
BATCHING,Individual trips,250,10.0,0.0,10,10,5,10.0,0.0,10,10,5
BATCHING,Individual trips,500,10.0,0.0,10,10,3,10.0,0.0,10,10,3
BATCHING,Batching rate %,50,58.96,10.579,42.9,72.4,5,55.36,6.251,44.1,61.3,5
BATCHING,Batching rate %,100,66.46,2.559,63.3,69.5,5,64.38,4.11,60.0,71.9,5
BATCHING,Batching rate %,250,83.3,0.0,83.3,83.3,5,83.3,0.0,83.3,83.3,5
BATCHING,Batching rate %,500,83.3,0.0,83.3,83.3,3,83.3,0.0,83.3,83.3,3
BATCHING,Avg batch size,50,2.0,0.0,2.0,2.0,5,2.098,0.084,2.0,2.25,5
